@relation crx
@attribute A1 {b, a}
@attribute A2 real [16.0, 8025.0]
@attribute A3 real [0.0, 26335.0]
@attribute A4 {u, y, l}
@attribute A5 {g, p, gg}
@attribute A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@attribute A7 {v, h, bb, ff, j, z, o, dd, n}
@attribute A8 real [0.0, 14415.0]
@attribute A9 {t, f}
@attribute A10 {t, f}
@attribute A11 integer [0, 67]
@attribute A12 {f, t}
@attribute A13 {g, s, p}
@attribute A14 integer [0, 2000]
@attribute A15 integer [0, 100000]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15
@outputs Class
@data
b,2017.0,5625.0,u,g,w,v,171.0,t,f,0,f,s,120,0,positive
b,425.0,4915.0,y,p,w,v,3165.0,t,f,0,t,g,52,1442,positive
b,2992.0,1835.0,u,g,c,h,4335.0,t,f,0,f,g,260,200,positive
a,4583.0,105.0,u,g,q,v,5.0,t,t,7,t,g,0,0,positive
b,2325.0,1.0,u,g,c,v,835.0,t,f,0,f,s,300,0,positive
a,4775.0,8.0,u,g,c,v,7875.0,t,t,6,t,g,0,1260,positive
a,2742.0,145.0,u,g,x,h,3085.0,t,t,1,f,g,120,11,positive
a,1583.0,585.0,u,g,c,h,15.0,t,t,2,f,g,100,0,positive
b,5658.0,185.0,u,g,d,bb,15.0,t,t,17,t,g,0,0,positive
a,41.0,204.0,y,p,q,h,125.0,t,t,23,t,g,455,1236,positive
b,415.0,154.0,u,g,i,bb,35.0,f,f,0,f,g,216,0,positive
b,4433.0,5.0,u,g,i,h,5.0,t,f,0,t,g,320,0,positive
b,5675.0,1225.0,u,g,m,v,125.0,t,t,4,t,g,200,0,positive
b,2667.0,425.0,u,g,cc,v,429.0,t,t,1,t,g,120,0,positive
b,1942.0,65.0,u,g,w,h,146.0,t,t,7,f,g,80,2954,positive
b,2067.0,529.0,u,g,q,v,375.0,t,t,1,f,g,160,0,negative
a,2767.0,15.0,u,g,m,v,2.0,t,f,0,f,s,368,0,negative
a,25.0,11.0,y,p,aa,v,45.0,t,f,0,f,g,120,0,negative
a,1975.0,75.0,u,g,c,v,795.0,t,t,5,t,g,140,5,negative
b,2917.0,35.0,u,g,w,v,35.0,t,t,3,t,g,329,0,negative
b,3775.0,7.0,u,g,q,h,115.0,t,t,7,t,g,300,5,negative
b,5783.0,704.0,u,g,m,v,14.0,t,t,6,t,g,360,1332,positive
a,235.0,9.0,u,g,q,v,85.0,t,t,5,t,g,120,0,positive
b,4767.0,25.0,u,g,m,bb,25.0,t,t,12,t,g,410,2510,positive
a,3125.0,375.0,u,g,cc,h,625.0,t,t,9,t,g,181,0,positive
b,2725.0,1665.0,u,g,cc,h,5085.0,t,t,9,f,g,399,827,positive
a,4083.0,10.0,u,g,q,h,175.0,t,f,0,f,g,29,837,positive
b,375.0,1125.0,y,p,d,v,15.0,f,f,0,t,g,431,0,positive
a,2067.0,3.0,u,g,q,v,165.0,t,t,3,f,g,100,6,positive
a,5708.0,195.0,u,g,c,v,55.0,t,t,7,f,g,0,3000,positive
