@relation crx
@attribute A1 {b, a}
@attribute A2 real [16.0, 8025.0]
@attribute A3 real [0.0, 26335.0]
@attribute A4 {u, y, l}
@attribute A5 {g, p, gg}
@attribute A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@attribute A7 {v, h, bb, ff, j, z, o, dd, n}
@attribute A8 real [0.0, 14415.0]
@attribute A9 {t, f}
@attribute A10 {t, f}
@attribute A11 integer [0, 67]
@attribute A12 {f, t}
@attribute A13 {g, s, p}
@attribute A14 integer [0, 2000]
@attribute A15 integer [0, 100000]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15
@outputs Class
@data
b,3317.0,104.0,u,g,r,h,65.0,t,f,0,t,g,164,31285,positive
b,5442.0,5.0,y,p,k,h,396.0,t,f,0,f,g,180,314,positive
a,3825.0,6.0,u,g,k,v,1.0,t,f,0,t,g,0,0,positive
b,4808.0,604.0,u,g,k,v,4.0,f,f,0,f,g,0,2690,positive
b,2183.0,25.0,u,g,d,h,665.0,t,f,0,t,g,0,0,positive
b,5742.0,85.0,u,g,e,h,7.0,t,t,3,f,g,0,0,positive
b,2725.0,1585.0,u,g,cc,h,1835.0,t,t,12,t,g,583,713,positive
b,5458.0,9415.0,u,g,ff,ff,14415.0,t,t,11,t,g,30,300,positive
b,3192.0,446.0,u,g,cc,h,604.0,t,t,3,f,g,311,300,positive
a,2575.0,5.0,u,g,c,h,875.0,t,f,0,t,g,491,0,positive
b,3425.0,3.0,u,g,cc,h,7415.0,t,f,0,t,g,0,0,positive
a,36.0,1.0,u,g,c,v,2.0,t,t,11,f,g,0,456,positive
b,3233.0,75.0,u,g,e,bb,1585.0,t,f,0,t,s,420,0,negative
a,3858.0,5.0,u,g,cc,v,135.0,t,f,0,t,g,980,0,negative
b,2167.0,1165.0,y,p,k,v,25.0,t,t,1,f,g,180,20,negative
b,215.0,975.0,u,g,c,v,25.0,t,f,0,f,g,140,0,negative
b,34.0,45.0,u,g,aa,v,1.0,t,f,0,t,g,240,0,negative
b,2875.0,15.0,y,p,c,v,15.0,t,f,0,t,g,0,225,negative
a,225.0,11.0,y,p,q,v,3.0,t,f,0,t,g,268,0,negative
a,245.0,104.0,y,p,ff,ff,5.0,t,t,3,f,g,180,147,negative
b,3992.0,621.0,u,g,q,v,4.0,t,t,1,f,g,200,300,positive
a,2475.0,125.0,u,g,aa,v,15.0,t,t,12,t,g,120,567,positive
a,4417.0,6665.0,u,g,q,v,7375.0,t,t,3,t,g,0,0,positive
b,3267.0,55.0,u,g,q,h,55.0,t,t,12,t,g,408,1000,positive
b,4858.0,65.0,u,g,q,h,6.0,t,f,0,t,g,350,0,positive
b,3992.0,54.0,y,p,aa,v,5.0,t,t,3,f,g,200,1000,positive
b,3358.0,275.0,u,g,m,v,425.0,t,t,6,f,g,204,0,positive
a,1883.0,95.0,u,g,w,v,1625.0,t,t,6,t,g,40,600,positive
a,6867.0,15.0,u,g,e,z,0.0,t,t,14,f,g,0,3376,positive
b,28.0,2.0,u,g,k,h,4165.0,t,t,2,t,g,181,0,positive
b,44.0,2.0,u,g,m,v,175.0,t,t,2,t,g,0,15,positive
b,2508.0,171.0,u,g,x,v,1665.0,t,t,1,t,g,395,20,positive
b,3667.0,325.0,u,g,q,h,9.0,t,f,0,t,g,102,639,positive
a,2508.0,254.0,y,p,aa,v,25.0,t,f,0,t,g,370,0,positive
b,2267.0,105.0,u,g,q,h,1335.0,t,f,0,f,g,100,0,positive
b,27.0,15.0,y,p,w,v,375.0,t,f,0,t,g,260,1065,positive
