@relation crx
@attribute A1 {b, a}
@attribute A2 real [16.0, 8025.0]
@attribute A3 real [0.0, 26335.0]
@attribute A4 {u, y, l}
@attribute A5 {g, p, gg}
@attribute A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@attribute A7 {v, h, bb, ff, j, z, o, dd, n}
@attribute A8 real [0.0, 14415.0]
@attribute A9 {t, f}
@attribute A10 {t, f}
@attribute A11 integer [0, 67]
@attribute A12 {f, t}
@attribute A13 {g, s, p}
@attribute A14 integer [0, 2000]
@attribute A15 integer [0, 100000]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15
@outputs Class
@data
b,3083.0,0.0,u,g,w,v,125.0,t,t,1,f,g,202,0,positive
a,5867.0,446.0,u,g,q,h,304.0,t,t,6,f,g,43,560,positive
b,2783.0,154.0,u,g,w,v,375.0,t,t,5,t,g,100,3,positive
b,3208.0,4.0,u,g,m,v,25.0,t,f,0,t,g,360,0,positive
a,2292.0,11585.0,u,g,cc,v,4.0,t,f,0,f,g,80,1349,positive
b,4208.0,104.0,u,g,w,v,5.0,t,t,6,t,g,500,10000,positive
b,42.0,979.0,u,g,x,h,796.0,t,t,8,f,g,0,0,positive
b,495.0,7585.0,u,g,i,bb,7585.0,t,t,15,t,g,0,5000,positive
a,23.0,1175.0,u,g,x,h,5.0,t,t,2,t,g,300,551,positive
b,3417.0,917.0,u,g,c,v,45.0,t,t,12,t,g,0,221,positive
b,2967.0,1415.0,u,g,w,h,75.0,t,t,1,f,g,240,100,positive
b,26.0,1.0,u,g,q,v,175.0,t,f,0,t,g,280,0,positive
b,2317.0,0.0,u,g,cc,v,85.0,t,f,0,f,g,0,0,positive
b,3517.0,45.0,u,g,x,h,575.0,f,f,0,t,s,711,0,positive
b,3417.0,154.0,u,g,cc,v,154.0,t,t,1,t,g,520,50000,positive
b,255.0,375.0,u,g,m,v,25.0,t,t,3,f,g,260,15108,positive
