@relation crx
@attribute A1 {b, a}
@attribute A2 real [16.0, 8025.0]
@attribute A3 real [0.0, 26335.0]
@attribute A4 {u, y, l}
@attribute A5 {g, p, gg}
@attribute A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@attribute A7 {v, h, bb, ff, j, z, o, dd, n}
@attribute A8 real [0.0, 14415.0]
@attribute A9 {t, f}
@attribute A10 {t, f}
@attribute A11 integer [0, 67]
@attribute A12 {f, t}
@attribute A13 {g, s, p}
@attribute A14 integer [0, 2000]
@attribute A15 integer [0, 100000]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15
@outputs Class
@data
b,2825.0,875.0,u,g,m,v,96.0,t,t,3,t,g,396,0,positive
a,3675.0,5125.0,u,g,e,v,5.0,t,f,0,t,g,0,4000,positive
a,2258.0,1075.0,u,g,q,v,415.0,t,t,5,t,g,0,560,positive
b,2783.0,15.0,u,g,w,v,2.0,t,t,11,t,g,434,35,positive
b,2892.0,15.0,u,g,c,h,5335.0,t,t,11,f,g,0,2283,positive
b,5642.0,28.0,y,p,c,v,285.0,t,t,40,f,g,0,15,positive
b,5433.0,675.0,u,g,c,h,2625.0,t,t,11,t,g,0,284,positive
b,3492.0,25.0,u,g,w,v,0.0,t,f,0,t,g,239,200,positive
a,2042.0,835.0,u,g,q,v,1585.0,t,t,1,f,g,0,0,positive
b,3517.0,25125.0,u,g,x,h,1625.0,t,t,1,t,g,515,500,positive
b,4958.0,19.0,u,g,ff,ff,0.0,t,t,1,f,g,94,0,negative
b,3983.0,5.0,u,g,m,v,25.0,t,f,0,f,s,288,0,negative
a,2858.0,354.0,u,g,i,bb,5.0,t,f,0,t,g,171,0,negative
b,23.0,625.0,y,p,aa,v,125.0,t,f,0,f,g,180,1,negative
b,375.0,175.0,y,p,c,bb,25.0,t,f,0,t,g,164,400,negative
b,1867.0,5.0,u,g,q,v,375.0,t,t,2,f,g,0,38,negative
b,5483.0,155.0,u,g,e,z,0.0,t,t,20,f,g,152,130,negative
b,2458.0,125.0,u,g,w,v,875.0,t,f,0,t,g,260,0,negative
b,2067.0,125.0,y,p,c,h,1375.0,t,t,3,t,g,140,210,negative
b,525.0,65.0,u,g,k,v,629.0,t,t,15,f,g,0,11202,positive
a,2075.0,10335.0,u,g,cc,h,335.0,t,t,1,t,g,80,50,positive
b,3492.0,5.0,u,g,x,h,75.0,t,t,6,t,g,0,1000,positive
a,2842.0,35.0,u,g,w,v,835.0,t,f,0,f,s,280,0,positive
b,2042.0,1835.0,u,g,c,v,225.0,t,t,1,f,g,100,150,positive
a,4742.0,8.0,u,g,e,bb,65.0,t,t,6,f,g,375,51100,positive
a,2692.0,135.0,u,g,q,h,5.0,t,t,2,f,g,0,5000,positive
b,2233.0,11.0,u,g,w,v,2.0,t,t,1,f,g,80,278,positive
b,3283.0,25.0,u,g,cc,h,275.0,t,t,6,f,g,160,2072,positive
a,305.0,65.0,u,g,c,bb,4.0,t,t,7,t,g,0,3065,positive
a,5833.0,10.0,u,g,q,v,4.0,t,t,14,f,g,0,1602,positive
b,3733.0,65.0,u,g,m,h,425.0,t,t,12,t,g,93,0,positive
b,3408.0,8.0,y,p,m,bb,4.0,t,t,1,t,g,280,2000,positive
b,32.0,175.0,y,p,e,h,4.0,t,f,0,t,g,393,0,positive
a,6058.0,165.0,u,g,q,v,11.0,t,f,0,t,g,21,10561,positive
a,3233.0,54.0,u,g,cc,v,4.0,t,f,0,f,g,440,11177,positive
a,4983.0,13585.0,u,g,k,h,85.0,t,f,0,t,g,0,0,positive
a,2125.0,2335.0,u,g,i,bb,5.0,t,t,4,f,s,80,0,positive
b,40.0,65.0,u,g,aa,bb,35.0,t,t,1,f,g,0,500,positive
b,2267.0,1585.0,y,p,w,v,3085.0,t,t,6,f,g,80,0,positive
b,2825.0,504.0,y,p,c,bb,15.0,t,t,8,t,g,144,7,positive
b,3317.0,3165.0,y,p,x,v,3165.0,t,t,3,t,g,380,0,positive
b,3933.0,5875.0,u,g,cc,h,10.0,t,t,14,t,g,399,0,positive
b,2308.0,115.0,u,g,i,v,35.0,t,t,9,f,g,56,742,positive
b,4117.0,404.0,u,g,cc,h,7.0,t,t,8,f,g,320,0,positive
b,5592.0,115.0,u,g,ff,ff,5.0,t,t,5,f,g,0,8851,positive
a,1892.0,925.0,y,p,c,v,1.0,t,t,4,t,g,80,500,positive
a,5008.0,1254.0,u,g,aa,v,229.0,t,t,3,t,g,156,0,positive
a,3775.0,55.0,u,g,q,v,125.0,t,f,0,t,g,228,0,positive
b,1808.0,55.0,u,g,k,v,5.0,t,f,0,f,g,80,0,positive
a,225.0,846.0,y,p,x,v,246.0,f,f,0,f,g,164,0,positive
b,1967.0,375.0,u,g,q,v,2.0,t,t,2,t,g,80,0,positive
b,185.0,2.0,u,g,i,v,15.0,t,t,2,f,g,120,300,positive
b,2317.0,11125.0,u,g,x,h,46.0,t,t,1,f,g,100,0,positive
b,1817.0,1025.0,u,g,c,h,1085.0,f,f,0,f,g,320,13,negative
b,20.0,0.0,u,g,d,v,5.0,f,f,0,f,g,144,0,negative
b,1708.0,85.0,y,p,c,v,4.0,f,f,0,f,g,140,722,negative
a,32.0,6.0,u,g,d,v,125.0,f,f,0,f,g,272,0,negative
a,2175.0,175.0,y,p,j,j,0.0,f,f,0,f,g,160,0,negative
a,1825.0,10.0,u,g,w,v,1.0,f,t,1,f,g,120,1,negative
b,6917.0,9.0,u,g,ff,ff,4.0,f,t,1,f,g,70,6,negative
a,5758.0,2.0,u,g,ff,ff,65.0,f,t,1,f,g,0,10,negative
b,4875.0,26335.0,y,p,ff,ff,0.0,t,f,0,t,g,0,0,negative
a,1633.0,21.0,u,g,aa,v,125.0,f,f,0,f,g,200,1,negative
a,1858.0,10.0,u,g,d,v,415.0,f,f,0,f,g,80,42,negative
b,1625.0,0.0,y,p,aa,v,25.0,f,f,0,f,g,60,0,negative
a,295.0,1085.0,y,p,x,v,1.0,f,f,0,f,g,280,13,negative
b,3017.0,1085.0,y,p,c,v,4.0,f,f,0,f,g,170,179,negative
b,3408.0,25.0,u,g,c,v,1.0,f,f,0,f,g,460,16,negative
b,2675.0,45.0,y,p,c,bb,25.0,f,f,0,f,g,200,1210,negative
a,3025.0,55.0,u,g,k,v,55.0,f,f,0,t,s,100,0,negative
b,4317.0,5.0,u,g,i,bb,225.0,f,f,0,t,g,141,0,negative
a,5683.0,425.0,y,p,ff,ff,5.0,f,f,0,t,g,0,4,negative
b,2208.0,1146.0,u,g,k,v,1585.0,f,f,0,t,g,100,1212,negative
b,2292.0,17.0,u,g,m,v,85.0,f,f,0,f,s,0,0,negative
a,2358.0,585.0,y,p,ff,ff,125.0,f,f,0,f,g,120,87,negative
b,2075.0,5085.0,y,p,j,v,29.0,f,f,0,f,g,140,184,negative
a,5192.0,65.0,u,g,i,bb,3085.0,f,f,0,t,g,73,0,negative
b,34.0,5085.0,y,p,i,bb,1085.0,f,f,0,t,g,480,0,negative
a,695.0,6.0,u,g,ff,ff,0.0,f,f,0,f,s,0,0,negative
b,2042.0,1085.0,u,g,q,v,15.0,f,f,0,f,g,108,7,negative
b,2942.0,125.0,u,g,w,v,175.0,f,f,0,f,g,200,0,negative
b,2617.0,835.0,u,g,cc,v,1165.0,f,f,0,f,g,100,0,negative
b,3367.0,2165.0,u,g,c,v,15.0,f,f,0,f,p,120,0,negative
b,2458.0,125.0,u,g,c,v,25.0,f,f,0,f,g,110,0,negative
b,4917.0,229.0,u,g,ff,ff,29.0,f,f,0,f,g,200,3,negative
b,2525.0,1.0,u,g,aa,v,5.0,f,f,0,f,g,200,0,negative
b,19.0,0.0,y,p,ff,ff,0.0,f,t,4,f,g,45,1,negative
a,5333.0,165.0,u,g,ff,ff,0.0,f,f,0,t,s,62,27,negative
a,2717.0,125.0,u,g,ff,ff,0.0,f,t,1,f,g,92,300,negative
b,3058.0,271.0,y,p,m,v,125.0,f,f,0,t,s,80,0,negative
b,165.0,125.0,u,g,c,v,165.0,f,f,0,f,g,132,0,negative
a,2733.0,1665.0,u,g,ff,ff,0.0,f,f,0,f,g,340,1,negative
b,3617.0,18125.0,u,g,w,v,85.0,f,f,0,f,g,320,3552,negative
a,3042.0,1375.0,u,g,w,h,4.0,f,t,3,f,g,0,33,negative
b,2208.0,2335.0,u,g,k,v,75.0,f,f,0,f,g,180,0,negative
b,1633.0,4085.0,u,g,i,h,415.0,f,f,0,t,g,120,0,negative
b,1917.0,4.0,y,p,i,v,1.0,f,f,0,t,g,360,1000,negative
b,245.0,13335.0,y,p,aa,v,4.0,f,f,0,t,g,120,475,negative
a,4725.0,75.0,u,g,q,h,275.0,t,t,1,f,g,333,892,positive
a,1883.0,4415.0,y,p,c,h,3.0,t,f,0,f,g,240,0,positive
b,1917.0,95.0,u,g,w,v,15.0,t,f,0,f,g,120,2206,positive
b,3133.0,195.0,u,g,c,v,7.0,t,t,16,f,g,0,5000,positive
b,4092.0,835.0,u,g,ff,ff,0.0,t,f,0,f,g,130,1,negative
a,3392.0,1585.0,y,p,ff,ff,0.0,t,f,0,f,g,320,0,negative
b,1942.0,15.0,y,p,cc,v,2.0,t,f,0,t,g,100,20,negative
b,5133.0,10.0,u,g,i,bb,0.0,t,t,11,f,g,0,1249,positive
a,2242.0,1125.0,y,p,x,h,75.0,t,t,4,f,g,0,321,positive
b,5142.0,4.0,u,g,x,h,4.0,t,f,0,f,g,0,3000,positive
b,2192.0,54.0,y,p,x,v,4.0,t,t,1,t,g,840,59,positive
b,3267.0,9.0,y,p,w,h,525.0,t,f,0,t,g,154,0,positive
b,6408.0,20.0,u,g,x,h,175.0,t,t,9,t,g,0,1000,positive
b,2533.0,58.0,u,g,c,v,29.0,t,t,7,t,g,96,5124,positive
b,3017.0,65.0,u,g,cc,v,3125.0,t,t,8,f,g,330,1200,positive
a,215.0,6.0,u,g,aa,v,25.0,t,t,3,f,g,80,918,positive
a,295.0,46.0,u,g,k,v,54.0,t,t,4,f,g,380,500,positive
b,2342.0,585.0,u,g,c,h,85.0,t,f,0,f,g,180,0,negative
b,1617.0,4.0,u,g,c,v,4.0,f,f,0,f,g,0,0,positive
b,20.0,125.0,y,p,k,v,125.0,f,f,0,f,g,140,4,negative
b,1933.0,10915.0,u,g,c,bb,585.0,f,t,2,t,g,200,7,negative
b,2942.0,125.0,u,g,c,h,25.0,f,t,2,t,g,400,108,negative
b,1842.0,10415.0,y,p,aa,v,125.0,t,f,0,f,g,120,375,negative
b,1883.0,0.0,u,g,q,v,665.0,f,f,0,f,g,160,1,negative
b,2375.0,12.0,u,g,c,v,2085.0,f,f,0,f,s,80,0,negative
a,2292.0,125.0,u,g,q,v,25.0,f,f,0,t,g,120,809,negative
b,1817.0,246.0,u,g,c,n,96.0,f,t,2,t,g,160,587,negative
b,2558.0,335.0,u,g,k,h,35.0,f,f,0,t,g,340,0,negative
a,4158.0,104.0,u,g,aa,v,665.0,f,f,0,f,g,240,237,negative
b,1942.0,725.0,u,g,m,v,4.0,f,t,1,f,g,100,1,negative
a,2008.0,125.0,u,g,c,v,0.0,f,f,0,f,g,0,0,negative
b,35.0,3375.0,u,g,c,h,829.0,f,f,0,t,g,0,0,negative
