@relation tae
@attribute Native integer [1, 2]
@attribute Instructor integer [1, 25]
@attribute Course integer [1, 26]
@attribute Semester integer [1, 2]
@attribute Size integer [3, 66]
@attribute Class {1, 2, 3}
@inputs Native, Instructor, Course, Semester, Size
@outputs Class
@data
1, 23, 3, 2, 49, 3
2, 15, 3, 1, 20, 3
2, 10, 22, 2, 9, 3
2, 14, 15, 2, 38, 2
2, 5, 2, 2, 37, 1
2, 5, 2, 2, 48, 1
1, 23, 3, 1, 19, 3
1, 5, 2, 2, 33, 3
2, 7, 11, 2, 55, 3
2, 9, 5, 2, 19, 3
2, 7, 11, 2, 10, 2
2, 7, 25, 2, 42, 2
2, 4, 16, 2, 21, 1
2, 5, 2, 2, 48, 1
1, 13, 3, 1, 17, 3
2, 14, 22, 2, 17, 3
1, 11, 16, 2, 22, 2
1, 23, 3, 1, 20, 2
2, 6, 17, 2, 37, 2
2, 23, 3, 2, 10, 2
2, 7, 11, 2, 30, 1
2, 23, 3, 2, 12, 1
2, 13, 14, 2, 17, 3
2, 14, 23, 2, 17, 2
2, 9, 24, 2, 20, 2
2, 22, 1, 2, 42, 2
2, 7, 11, 2, 30, 1
2, 3, 2, 2, 37, 1
2, 22, 1, 2, 51, 1
2, 2, 10, 2, 27, 1
