@relation tae
@attribute Native integer [1, 2]
@attribute Instructor integer [1, 25]
@attribute Course integer [1, 26]
@attribute Semester integer [1, 2]
@attribute Size integer [3, 66]
@attribute Class {1, 2, 3}
@inputs Native, Instructor, Course, Semester, Size
@outputs Class
@data
1, 5, 2, 2, 33, 3
2, 7, 11, 2, 55, 3
2, 6, 17, 2, 39, 3
2, 6, 17, 2, 42, 2
2, 25, 7, 2, 23, 2
2, 15, 13, 2, 37, 2
2, 18, 5, 2, 19, 1
2, 13, 1, 2, 31, 1
1, 13, 3, 1, 13, 1
2, 13, 1, 2, 30, 3
2, 6, 17, 2, 39, 3
2, 13, 3, 1, 10, 2
2, 25, 7, 2, 23, 2
2, 7, 11, 2, 13, 2
2, 8, 3, 2, 24, 2
2, 18, 5, 2, 19, 1
1, 23, 3, 1, 25, 3
2, 13, 3, 1, 11, 3
1, 23, 3, 1, 20, 3
1, 17, 17, 2, 19, 3
2, 13, 1, 2, 20, 2
2, 23, 3, 1, 20, 2
1, 14, 15, 2, 32, 1
2, 20, 2, 2, 3, 1
1, 10, 3, 2, 21, 3
2, 14, 15, 2, 36, 3
1, 17, 18, 2, 44, 2
2, 23, 3, 2, 11, 1
2, 17, 18, 2, 29, 1
2, 3, 2, 2, 26, 1
